url	first_seen	portal	title	company	status
https://www.mycareersfuture.gov.sg/job/cyber-security-engineer-singapore-institute-career-development-aba54d961e28ec0765bf3d60f365b1ab	2026-04-22	mycareersfuture.gov.sg	Cyber Security Engineer (career change, no experience required)	Singapore Institute of Career Development	skipped_title
https://www.mycareersfuture.gov.sg/job/engineering/ai-scientist-llm-ai-agent-duotech-bc1a0ff6755725703993e2b9fccc0399	2026-04-28	mycareersfuture.gov.sg	AI Scientist - LLM & AI Agent	Duotech	added
https://job-boards.greenhouse.io/aift/jobs/5820463004	2026-04-28	job-boards.greenhouse.io	Machine Learning Engineer Lead, Vulcan (Global)	AIFT	added
https://job-boards.greenhouse.io/simplifynext/jobs/5019281007	2026-04-28	job-boards.greenhouse.io	AI Engineer	SimplifyNext	added
https://job-boards.greenhouse.io/anthropic/jobs/5030244008	2026-04-28	job-boards.greenhouse.io	Anthropic Fellows Program — AI Security	Anthropic	added
https://job-boards.greenhouse.io/anthropic/jobs/5023394008	2026-04-28	job-boards.greenhouse.io	Anthropic Fellows Program (AI Safety)	Anthropic	skipped_expired
https://jobs.lever.co/mistral/80358670-36c7-4b00-85f9-9051dc8a341e	2026-04-28	jobs.lever.co	Applied AI Engineer, Senior/Staff DevOps/SRE - Singapore	Mistral AI	added
https://jobs.lever.co/mistral/3e51d533-1f2d-48e3-9a2b-33fc7e8b0c0c	2026-04-28	jobs.lever.co	Applied AI Engineer, ML Infra - Singapore	Mistral AI	added
https://jobs.lever.co/GoToGroup/34f6146a-c482-407c-a31c-72ac9bb90a7c	2026-04-28	jobs.lever.co	Senior Data Scientist (Singapore)	GoTo Group	added
https://jobs.lever.co/GoToGroup/01cb6cc1-1c63-4079-a4b0-eb8af462bf33	2026-04-28	jobs.lever.co	Data Scientist Intern - Singapore	GoTo Group	skipped_title
https://jobs.bytedance.com/en/position/7612489167357184309/detail	2026-04-28	jobs.bytedance.com	Solutions Architect - BytePlus - Singapore	ByteDance	added
https://jobs.bytedance.com/en/mobile/position/detail/7533024844121180434	2026-04-28	jobs.bytedance.com	Student Researcher Seed LLM Horizon	ByteDance	skipped_title
https://career.sea.com/position/J02001920	2026-04-28	career.sea.com	Research Engineer	Sea Labs	added
https://www.mycareersfuture.gov.sg/job/cybersecurity-engineer-knovel-engineering-b8ca15e23b8741af38319ae7702df662	2026-04-28	mycareersfuture.gov.sg	Cybersecurity Engineer	Knovel Engineering	added
https://job-boards.greenhouse.io/singlestore/jobs/6824568	2026-04-28	job-boards.greenhouse.io	AI Security Engineer	SingleStore	added
https://jobs.ashbyhq.com/elevenlabs/6d3333c9-fdec-401c-bacf-b9d2436d688f	2026-04-28	jobs.ashbyhq.com	AI Safety Engineer	ElevenLabs	added
https://jobs.ashbyhq.com/elevenlabs/6c4c57c1-ec72-42ba-af3a-eb7aebbde2e6	2026-04-28	jobs.ashbyhq.com	Forward Deployed Engineer	ElevenLabs	added
https://sg.linkedin.com/jobs/view/data-scientist-ai-lab-at-ocbc-4099747204	2026-04-28	linkedin.com	Data Scientist, AI Lab	OCBC	added
